Label,Comment
com.apple.screensharing.agent,
com.apple.screensharing.MessagesAgent,
com.apple.scrod,
com.apple.secd,
com.apple.secinitd,
com.apple.security.agent,
com.apple.security.cloudkeychainproxy3,
com.apple.security.DiskUnmountWatcher,
com.apple.security.idskeychainsyncingproxy,
com.apple.security.keychain-circle-notification,
com.apple.sharingd,"Sharing Daemon that enables AirDrop, Handoff, Instant Hotspot, Shared Computers, and Remote Disc in the Finder"
com.apple.soagent,
com.apple.SocialPushAgent,
com.apple.softwareupdate_notify_agent,
com.apple.speech.speechdatainstallerd,
com.apple.speech.speechsynthesisd,
com.apple.speech.synthesisserver,
com.apple.spindump_agent,
com.apple.spotlight.IndexAgent,
com.apple.Spotlight,
com.apple.ssinvitationagent,
com.apple.storeaccountd,
com.apple.storeassetd,
com.apple.storedownloadd,
com.apple.storeinappd,
com.apple.storelegacy,
com.apple.storeuid,
com.apple.suggestd,
com.apple.swcd,
com.apple.syncdefaultsd,
com.apple.syncservices.SyncServer,
com.apple.syncservices.uihandler,
com.apple.systemprofiler,
com.apple.SystemUIServer.agent,
com.apple.talagent,
com.apple.tccd,
com.apple.telephonyutilities.callservicesd,
com.apple.thermaltrap,
com.apple.tiswitcher,
com.apple.TMHelperAgent,
com.apple.TMHelperAgent.SetupOffer,
com.apple.trustd.agent,
com.apple.TrustEvaluationAgent,
com.apple.universalaccessAuthWarn,
com.apple.universalaccesscontrol,
com.apple.universalaccessd,
com.apple.unmountassistant.useragent,
com.apple.USBAgent,
com.apple.UserEventAgent-Aqua,
com.apple.UserEventAgent-LoginWindow,
com.apple.usernoted,
com.apple.UserNotificationCenterAgent-LoginWindow,
com.apple.UserNotificationCenterAgent,
com.apple.VoiceOver,
com.apple.warmd_agent,
com.apple.webinspectord,
com.apple.WebKit.PluginAgent,
com.apple.wifi.WiFiAgent,
com.apple.xpc.loginitemregisterd,
com.apple.xpc.otherbsd,
com.apple.ZoomWindow,
org.openbsd.ssh-agent,
